sample_id,n_B_Q1,n_B_Q4,n_T,mean_LGALS9_B_Q1,mean_LGALS9_B_Q4,mean_HAVCR2_T,Q1_strength,Q4_strength
raw_all__GSM5837575_AB8489.txt.gz,6,6,83,0.0,0.0,0.0,0.0,0.0
raw_all__GSM5837576_AB8490.txt.gz,5,5,75,0.0,0.0,0.0,0.0,0.0
raw_all__GSM5837577_AB8491.txt.gz,9,9,75,0.0,0.0,0.0,0.0,0.0
raw_all__GSM5837579_AB8493.txt.gz,6,6,31,0.16666666666666666,0.16666666666666666,0.03225806451612903,0.005376344086021505,0.005376344086021505
raw_all__GSM5837641_AB8939.txt.gz,8,8,36,0.0,0.0,0.0,0.0,0.0
raw_all__GSM5837643_AB8941.txt.gz,8,8,44,0.25,0.125,0.022727272727272728,0.005681818181818182,0.002840909090909091
raw_all__GSM5837644_AB8942.txt.gz,8,8,60,0.0,0.125,0.0,0.0,0.0
raw_all__GSM5837646_AB8944.txt.gz,6,6,50,0.0,0.0,0.06,0.0,0.0
raw_all__GSM5837662_AB9111.txt.gz,6,6,90,0.3333333333333333,0.0,0.0,0.0,0.0
raw_all__GSM5837664_AB9113.txt.gz,5,5,42,0.0,0.4,0.0,0.0,0.0
raw_all__GSM5837687_AB9363.txt.gz,6,6,79,0.0,0.16666666666666666,0.012658227848101266,0.0,0.002109704641350211
raw_all__GSM5837699_AB9432.txt.gz,7,7,62,0.2857142857142857,0.0,0.0,0.0,0.0
raw_all__GSM5837700_AB9433.txt.gz,6,6,26,0.0,0.16666666666666666,0.0,0.0,0.0
